sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2014-08-30 21:51:00,2015-08-02T00:00:00,ATOSU-58322-00008,"['1150']",44.374163,-124.95648,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00008__20140130.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2015-08-03 02:21:00,2016-07-18T00:00:00,ATOSU-58322-00013,"['1289']",44.374163,-124.95648,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00013__20150528.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-58322-00008,"['1150']",44.374163,-124.95648,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00008__20160114.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-58322-00013,"['1289']",44.374163,-124.95648,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00013__20150528.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2018-07-17 15:00:00,2019-06-13T21:54:00,ATAPL-58322-00006,"['1194']",44.374223,-124.956501,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00006__20171128.csv,noValidCalFile
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2019-06-14 16:42:00,2020-08-01T22:29:00,ATOSU-58322-00013,"['1289']",44.374223,-124.956501,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00013__20181008.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2020-08-02 19:43:56,2020-08-22T00:11:00,ATOSU-58322-00008,"['1150']",44.374223,-124.956501,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00008__20190905.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2021-08-24 17:11:39,2022-08-10T16:21:00,ATOSU-58322-00013,"['1289']",44.374223,-124.956501,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00013__20201012.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2022-08-11 22:00:00,2022-09-03T18:05:00,ATOSU-58322-00008,"['1150']",44.374223,-124.956501,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00008__20211001.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2022-09-06 19:00:00,2023-08-15T13:01:00,ATAPL-58322-00009,"['1292']",44.374223,-124.956501,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00009__20201005.csv,noValidCalFile
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2023-08-16 15:32:00,2024-08-08T17:15:00,ATOSU-58322-00013,"['1289']",44.374223,-124.956501,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATOSU-58322-00013__20221028.csv,none
FLORD,CE04OSPS-SF01B-3A-FLORTD104,2024-08-09 12:33:00,nan,ATAPL-58322-00001,"['1028']",44.374223,-124.956501,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00001__20221028.csv,none
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2014-09-29 01:53:00,2015-07-06T00:00:00,ATAPL-58322-00005,"['1132']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00005__20131023.csv,noValidCalFile
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2015-07-07 16:12:00,2016-07-17T00:00:00,ATAPL-58322-00011,"['1297']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00011__20150416.csv,none
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2016-07-18 00:19:00,2017-07-28T03:00:00,ATAPL-58322-00005,"['1132']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00005__20160113.csv,noValidCalFile
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2017-08-04 19:30:00,2018-06-24T02:00:00,ATAPL-58322-00011,"['1297']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00011__20170224.csv,none
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2018-06-24 02:00:00,2019-06-14T05:26:00,ATAPL-58322-00004,"['1131']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00004__20171108.csv,noValidCalFile
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2019-06-14 22:48:00,2020-08-02T19:41:01,ATAPL-58322-00002,"['1129']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00002__20171107.csv,none
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2020-08-03 15:17:57,2021-08-04T20:20:00,ATAPL-58322-00005,"['1132']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00005__20190906.csv,noValidCalFile
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2021-08-24 16:56:08,2022-09-02T20:45:00,ATAPL-58322-00002,"['1129']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00002__20201007.csv,none
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2022-09-15 15:32:00,2023-08-17T01:24:00,ATAPL-58322-00005,"['1132']",44.528951,-125.389669,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00005__20211012.csv,noValidCalFile
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2023-08-17 20:49:00,2024-08-09T06:35:00,ATAPL-58322-00002,"['1129']",44.528951,-125.389669,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00002__20221028.csv,none
FLORD,RS01SBPS-PC01A-4C-FLORDD103,2024-08-09 20:17:00,nan,ATAPL-58322-00005,"['1132']",44.528951,-125.389669,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00005__20231110.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/FLORDD/ATAPL-58322-00005__20231110.lambda
FLORD,RS01SBPS-SF01A-3A-FLORTD101,2014-09-29 04:43:00,2015-07-06T00:00:00,ATAPL-58322-00003,"['1130']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00003__20131022.csv,noValidCalFile
FLORD,RS01SBPS-SF01A-3A-FLORTD101,2015-07-07 20:47:00,2016-07-17T00:00:00,ATAPL-58322-00009,"['1292']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLORDD/ATAPL-58322-00009__20150416.csv,noValidCalFile
